hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
Hostel Mitsuwaya Osaka,Osaka,3200,4.1km from city centre,9.6,Superb,9.4,10,9.7,9.1,9.7,9.9,9.6,135.513379,34.670596
B&S Eco Cube Shinsaibashi,Osaka,2600,4km from city centre,8.6,Fabulous,7.5,9,8,8.5,10,8,9,135.4991771,34.6707458
Capsule Hotel Asahi Plaza Shinsaibashi,Osaka,3000,4km from city centre,9.9,Superb,10,10,10,10,10,10,9,135.497847,34.6707858
Guesthouse Gloire,Osaka,2800,3.9km from city centre,7.1,Very Good,8,8,8,4,6,8,8,135.511096,34.67197
Osaka Hana Hostel,Osaka,2600,3.7km from city centre,9.5,Superb,8.5,9.6,9.6,9.8,9.5,9.8,9.6,135.498216,34.6731483
Hostel Teltel Bouzu,Osaka,2500,3.8km from city centre,9,Superb,9,9,9,8.3,9.3,9.3,9,135.5091721,34.6734621
iloha Hostel Namba Shinsaibashi,Osaka,2600,3.7km from city centre,9.2,Superb,8.7,9.6,9.2,9.6,9.2,8.5,9.4,135.503048,34.673766
J-Hoppers Osaka Universal,Osaka,2500,6.4km from city centre,9.4,Superb,9.3,9.7,9.2,8.7,9.7,10,9.5,135.442876,34.675236
Ezstay Osaka,Osaka,2000,4.6km from city centre,3.1,Rating,2,2,2,4,6,2,4,135.535271,34.6757318
Beehive Hostel Osaka,Osaka,2900,3.4km from city centre,9.1,Superb,8.8,9.2,8.7,8.8,9.5,9.7,9.2,135.508387,34.676892
Prime Inn Shinsaibashi,Osaka,2600,3.3km from city centre,9.2,Superb,8.7,9.3,8.7,9.3,10,9.3,9.3,135.5074622,34.677238
Hostel 64 Osaka,Osaka,2700,3.4km from city centre,8.6,Fabulous,8.2,8.6,8.2,8.1,9.1,9,8.6,135.4883418,34.6780282
Senba Hostel,Osaka,3500,3.2km from city centre,9.1,Superb,9,9.5,9,9,9.5,9,8.5,135.506513,34.678133
Hotel Cargo Shinsaibashi,Osaka,4200,3.2km from city centre,9.3,Superb,8.4,9.6,8.8,8.8,9.6,10,9.6,135.503563,34.678242
Guesthouse Morizou Female only,Osaka,2000,3.7km from city centre,10,Superb,10,10,10,10,10,10,10,135.526955,34.6800923
Hostel Jin,Osaka,2500,4.3km from city centre,9.6,Superb,8.8,10,9.8,8.8,9.8,9.8,10,135.4661493,34.6810161
Osaka Guest House Midoriya,Osaka,2800,5.1km from city centre,9.7,Superb,9.7,10,9.6,9.4,9.7,10,9.7,135.5485836,34.6817305
"""Bike & Bed"" CharinCo Hostel",Osaka,3300,2.9km from city centre,9.2,Superb,8.9,9.4,9.3,8.9,9,9.4,9.4,135.5137671,34.682678
The Blend Inn,Osaka,2300,4.5km from city centre,9.6,Superb,9.8,9.9,9.5,8.5,10,9.9,9.6,135.460685,34.684522
Idocoro,Osaka,1800,2.2km from city centre,8.2,Fabulous,7.1,8.9,8,7.6,8.8,8.7,8.2,135.5086675,34.6873302
Osaka Hostel Kai,Osaka,2600,2.8km from city centre,9.1,Superb,8.9,9.1,8.9,8.6,8.9,9.7,9.7,135.4764591,34.6931733
Guesthouse U-En,Osaka,2300,1.9km from city centre,9.5,Superb,9.3,9.6,9.3,9.4,9.4,9.8,9.5,135.4865055,34.6946473
J-Hoppers Osaka Guesthouse,Osaka,2300,1.9km from city centre,9.5,Superb,9.5,9.6,9.2,9.5,9.6,9.7,9.6,135.484861,34.697435
Hostel Bushi,Osaka,1900,3.4km from city centre,8.8,Fabulous,8.5,8.8,8.9,8.6,8.8,9.2,8.9,135.5374497,34.6979324
Osaka Guesthouse Sakura,Osaka,2500,0.9km from city centre,8.8,Fabulous,8.9,8.9,8.4,8.3,8.5,9.4,9.2,135.505511,34.69898
Sakura La An,Osaka,2900,1.2km from city centre,9.6,Superb,9.3,9.8,9.5,9.2,9.6,9.8,9.7,135.5123668,34.6997902
Drop Inn Osaka,Osaka,2800,1.4km from city centre,8.8,Fabulous,8.3,9.5,9,8.3,9.1,8.5,8.7,135.4886189,34.7001589
Osaka Guesthouse Hive,Osaka,2300,1.3km from city centre,8.3,Fabulous,7.6,8.6,8,8.5,8.6,8.5,8,135.489407,34.7021661
Guest House Onoya,Osaka,2000,3.3km from city centre,9.4,Superb,9.5,10,10,8,9,10,9.5,135.5376482,34.7025957
